epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2772,1.75941,1.84722,1.28866,0.99773,0.99968,0.995,0.7494,0.92645,0.65699,0.96672,0.000551074,0.000551074,0.000551074
2,35.9848,0.94087,0.58857,0.94737,0.99981,1,0.995,0.81462,0.72235,0.40311,0.88355,0.00107022,0.00107022,0.00107022
3,52.3835,0.80037,0.48668,0.91398,0.99926,1,0.995,0.83362,0.66384,0.36932,0.87795,0.00155269,0.00155269,0.00155269
4,68.8226,0.78385,0.48281,0.91403,0.99967,1,0.995,0.85648,0.56646,0.36569,0.86848,0.00150197,0.00150197,0.00150197
5,85.3808,0.73189,0.44439,0.90249,0.99983,1,0.995,0.83471,0.69281,0.35757,0.89215,0.00144696,0.00144696,0.00144696
6,101.842,0.69766,0.41996,0.89414,0.9998,1,0.995,0.86086,0.65174,0.34574,0.87421,0.00139195,0.00139195,0.00139195
7,118.218,0.67567,0.41042,0.88873,0.99975,1,0.995,0.84286,0.59399,0.31241,0.86269,0.00133693,0.00133693,0.00133693
8,134.42,0.64958,0.38902,0.88373,0.99987,1,0.995,0.8799,0.52041,0.29959,0.85622,0.00128192,0.00128192,0.00128192
9,150.998,0.64667,0.38609,0.88463,0.99972,1,0.995,0.86077,0.57108,0.27854,0.86046,0.00122691,0.00122691,0.00122691
10,167.334,0.60874,0.36322,0.87832,0.99984,1,0.995,0.88498,0.51631,0.30613,0.84818,0.0011719,0.0011719,0.0011719
11,183.878,0.61245,0.36352,0.87851,0.99983,1,0.995,0.89398,0.4802,0.26674,0.84485,0.00111689,0.00111689,0.00111689
12,200.452,0.57872,0.34958,0.87172,0.99981,1,0.995,0.89353,0.46777,0.25101,0.83992,0.00106188,0.00106188,0.00106188
13,216.705,0.58962,0.34936,0.87164,0.99982,1,0.995,0.879,0.49809,0.28282,0.84364,0.00100687,0.00100687,0.00100687
14,232.892,0.59317,0.34786,0.87499,0.9998,1,0.995,0.87479,0.50816,0.24897,0.84517,0.000951857,0.000951857,0.000951857
15,249.239,0.57469,0.33643,0.87174,0.99982,1,0.995,0.89468,0.45429,0.2465,0.84142,0.000896846,0.000896846,0.000896846
16,265.803,0.55486,0.32701,0.868,0.99983,1,0.995,0.89369,0.48931,0.2414,0.83873,0.000841835,0.000841835,0.000841835
17,282.078,0.55235,0.32211,0.86674,0.99983,1,0.995,0.88495,0.48377,0.23981,0.83804,0.000786824,0.000786824,0.000786824
18,298.402,0.54186,0.31496,0.86583,1,1,0.995,0.89165,0.46054,0.23778,0.83764,0.000731813,0.000731813,0.000731813
19,314.647,0.54131,0.30983,0.86458,0.9998,1,0.995,0.89773,0.44948,0.22858,0.83455,0.000676802,0.000676802,0.000676802
20,331.228,0.53192,0.30449,0.86133,0.99982,1,0.995,0.88835,0.49117,0.23973,0.84293,0.000621791,0.000621791,0.000621791
21,347.896,0.48478,0.25969,0.85782,0.99981,1,0.995,0.8864,0.48755,0.23647,0.83889,0.00056678,0.00056678,0.00056678
22,363.806,0.48243,0.25298,0.86488,0.99978,1,0.995,0.88552,0.49184,0.23174,0.84028,0.000511769,0.000511769,0.000511769
23,379.414,0.46927,0.24094,0.86181,0.99982,1,0.995,0.91029,0.42819,0.20727,0.83123,0.000456758,0.000456758,0.000456758
24,395.28,0.46141,0.23825,0.85807,0.99988,1,0.995,0.91187,0.41378,0.19985,0.8303,0.000401747,0.000401747,0.000401747
25,410.99,0.4555,0.23123,0.8535,0.99987,1,0.995,0.90637,0.41944,0.19573,0.83394,0.000346736,0.000346736,0.000346736
26,426.45,0.45088,0.23254,0.8572,0.99983,1,0.995,0.91767,0.41228,0.20004,0.8285,0.000291725,0.000291725,0.000291725
27,442.289,0.4433,0.22374,0.85414,0.9998,1,0.995,0.91093,0.41406,0.19297,0.82952,0.000236714,0.000236714,0.000236714
28,457.965,0.43605,0.21695,0.85576,0.99988,1,0.995,0.91137,0.41141,0.19346,0.82809,0.000181703,0.000181703,0.000181703
29,473.661,0.42399,0.20932,0.85421,0.99988,1,0.995,0.91809,0.40181,0.18265,0.82683,0.000126692,0.000126692,0.000126692
30,489.568,0.42168,0.20495,0.84821,0.99988,1,0.995,0.91505,0.41198,0.18354,0.82741,7.1681e-05,7.1681e-05,7.1681e-05
